row ID,row m/z,row retention time,20220504_groupC_DBGI_07_01.mzML Peak area,20220504_groupC_DBGI_07_02.mzML Peak area,20220504_groupC_DBGI_07_03.mzML Peak area,20220504_groupC_DBGI_07_04.mzML Peak area,20220504_groupC_DBGI_07_05.mzML Peak area,20220504_groupC_DBGI_07_06.mzML Peak area,20220504_groupC_DBGI_07_07.mzML Peak area,20220504_groupC_DBGI_07_08.mzML Peak area,20220504_groupC_DBGI_07_09.mzML Peak area,20220504_groupC_DBGI_07_10.mzML Peak area,20220504_groupC_DBGI_07_11.mzML Peak area,20220504_groupC_DBGI_07_12.mzML Peak area,20220504_groupC_DBGI_07_13.mzML Peak area,20220504_groupC_DBGI_07_14.mzML Peak area,20220504_groupC_DBGI_07_nd_20220504181114.mzML Peak area,
12,287.20074462890625,4.605894183333334,6.5081662157336615E7,0,5811630.464460375,0,7867727.023459396,0,0,1.3293787003922635E8,5.681691993188943E8,0,5.642711655603768E8,0,0,0,0,
13,163.03897094726562,1.2708835714285716,8.588024454257424E7,0,0,0,0,0,1.113576087296227E8,0,1.2767326209556265E8,1.1947727885160746E7,8.272986983863121E7,4.7538976168825656E7,3.430726827066065E7,0,0,
14,439.3571370442708,5.448005075,1.0906222745563282E8,2.4576276085573863E7,0,5.8885628027243815E7,5.46658950194671E7,3.2940308469116475E7,9.020010024898544E7,1.1935724245355241E7,1.3422348285363853E8,0,1.338803779719814E8,4.084661646614935E7,3.1315066427960638E7,1.1437803380458798E8,0,
15,331.19044494628906,4.187739266666667,6.642369903877864E7,0,0,0,0,0,0,0,3.5556717587431896E8,0,3.628968544559679E8,0,0,0,0,
16,316.2848765055339,3.8917096,4.878965724155735E7,1.025012907222409E7,0,0,0,0,0,0,0,0,2.774364497971379E7,0,0,0,0,
17,593.2762112087673,5.878812622222223,5.158455790938113E7,5.451292504051409E7,1.3802496308065063E8,4247253.91876283,0,4.550147829834105E7,9087988.367786357,3781641.5706920237,0,0,2.1667737749689102E7,4798974.665962242,0,0,0,
18,177.0546531677246,1.51873999,1.32777639241591E8,6148783.2565297615,0,3.034318679121112E7,4073611.3107386297,0,4121597.2613833114,2.132037446952117E7,8.918511284700236E7,4.30546462216701E7,7.745780048544133E7,0,0,8658600.158563426,0,
19,463.08732882413,1.9104767090909087,7.98151843265417E7,4.329481064146349E7,2.4258488694868956E7,0,1.1194840242592618E8,3.328725859483808E7,6.375985180085709E7,1.0581317486659805E8,3.41254374299168E7,0,6.167866180149809E7,0,6.0057246278763175E7,7.933219657976931E7,0,
20,110.00903265816825,0.3333130807142857,1.2397347601466756E8,7.76535622267588E7,1.2931830454656929E8,4.098237635108806E7,7.575522949304993E7,1.1643492843064757E8,9.832468545565967E7,7.56148014340635E7,7.431276272156027E7,2.8056925905715734E8,1.4370039791522038E8,9470148.30515197,8.88781877603351E7,4.9512953077916056E7,0,
21,325.0918998718262,1.294982875,5.215081678696254E7,0,0,0,0,0,2.4917403538076714E7,0,4.663682717701528E7,0,4.5723320759278096E7,0,0,0,0,
22,177.05464765760632,1.931875888888889,2.7381501602647267E7,5829937.1251457,1.4657046126992466E7,0,5428252.915190606,4414175.065889615,0,0,2.385296771883609E7,1.046863542401284E8,1.9035223267590217E7,0,0,1.0489176909233635E7,0,
23,357.1182098388672,1.6122518999999997,5.749044639861374E7,0,0,0,0,0,0,0,1.9824443333580874E7,0,1.7450864264838703E7,0,0,0,0,
24,209.15368525187174,1.6004623333333334,3.097730362958893E7,0,0,1.5491261388017751E7,0,1.1573206839663712E7,0,0,2.219671195990638E7,1.011898030190475E7,3.003549335340889E7,0,0,0,0,
25,343.1024963378906,1.3095775,4.292841198808442E7,0,2402185.3361004493,0,0,0,1.4301155435256366E7,0,3.4942681085117176E7,0,3.5144189520142876E7,0,0,0,0,
26,381.07939583914623,0.3998275971428571,1.2570593569852309E8,1.021869791366964E8,4.694716422307896E7,2.3092869322449014E8,1.730308115675633E8,1.0872922542409094E8,1.278847615466731E8,2.4349115580987436E8,1.720004331692714E8,1.2866288161790974E8,8.788657634524052E7,3.6841552791429806E8,1.431438094017093E8,3.6237538124461466E8,0,
27,457.20702107747394,2.287297988888889,2.5613427863770057E7,1.1092479583071819E7,0,8258446.709327835,1.0883129315091752E7,2.590704238261246E7,0,0,2.4740450347124286E7,3.1579050301555373E7,3.6305305143637784E7,0,0,1.194562408851438E7,0,
28,396.12906036376955,1.5909996199999998,3.786336301338773E7,2.7349276398021013E7,0,1850959.3650393817,3.2480199620294113E7,0,0,1.2713963831833225E7,3.812511159807352E7,1.3468543173644183E7,4.2140922670879565E7,0,2.249480087602431E7,4.826973667196099E7,0,
29,205.19515991210938,4.9566768125,3.8801492942400776E7,1.952301915024597E7,3.939429287796293E7,6484396.586729063,2.8315322928914506E7,1.6812223482791156E7,2364837.0714639593,0,9.333130819036005E7,0,0,0,0,0,0,
30,163.03897349039713,1.587716811111111,3.432446809040952E7,4.03399568986957E7,2396818.3595336257,0,4.225612767437977E7,0,0,0,3.5191960709520526E7,2.7060047879499353E7,4.7601828280959025E7,0,1.5050950799516672E7,3.794503000935814E7,0,
31,301.2162170410156,5.345997433333333,2.8514831652984228E7,0,0,0,0,0,0,0,3.0804752083490342E7,0,7.540110178047957E7,0,0,0,0,
32,595.1658325195312,1.5391962,2.438600216757156E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,132.10200010027205,0.5476987271428572,1.2433955450951016E8,3.0293667314224284E7,3.572847871154072E7,2.2522448317121796E7,1.5576471958532289E7,6835530.8928450225,9069342.861151742,2.443850392954042E7,2.3410184880102314E7,1.6491328700282646E7,3.7839255047759645E7,2.2139731493769646E7,3.1392364669930074E7,9139018.394667352,0,
34,361.0918655395508,2.156520242857143,3.313338825021E7,3.219990482049681E7,1.466377111489713E7,3.006632027230921E7,3.250389510636789E7,2.2350052264288034E7,4.255665914563962E7,2.953289673995054E7,3.0703309728831142E7,1.2399581840919014E7,3.1422302087097205E7,3.0396851061231125E7,3.106215855282144E7,2.150444672113768E7,0,
35,343.08135986328125,2.155367025,2.475543213856873E7,1.7752517529120788E7,0,0,2.4260168137058057E7,1.4621514611678505E7,3.160975573218204E7,0,2.398047391588924E7,0,2.6357771688237976E7,0,2.08871425447222E7,0,0,
36,433.11321512858075,2.0943819500000003,2.4952432977049578E7,0,0,0,3.7328619887262285E7,1.5849920950675735E7,0,0,4459764.900606939,0,0,0,1.1162822863484297E7,5919792.356879224,0,
37,535.1084808349609,2.11161447,7.919017112953758E7,6723778.247434295,1.3084345903176367E7,7669840.459741061,4.878952523385688E7,1.3483300686415014E8,0,0,7.470600193167147E7,0,4.441422830185996E7,0,1.770978260170483E7,1.6415384559643269E7,0,
38,227.12777455647787,1.562137611111111,1.9304471548608813E7,4.7576408678122595E7,3.8736627590756804E7,1.7826880557907727E7,5.438424194628133E7,0,0,0,5.782160300456274E7,0,4.226475467614056E7,0,4.281933902426947E7,4.431436610592909E7,0,
39,271.2423095703125,3.5264895000000003,2.433619435011069E7,0,0,0,0,0,0,0,7888401.494142851,0,0,0,0,0,0,
40,151.03509194510323,0.3326476135714285,7.482755435496177E7,4.6938757133343704E7,7.874952431003618E7,2.3806467894137383E7,4.358583251131369E7,7.242619352812073E7,5.780697997908791E7,4.402260463345824E7,4.2395400988456294E7,1.6416570822166148E8,8.275464606759144E7,4718148.809949916,5.282753279828563E7,2.7787611388466686E7,0,
41,279.2318064371745,5.436948433333334,2.4160600902590707E7,3.2962210334307127E7,5.0582746579739265E7,0,0,0,0,0,0,0,0,0,0,0,0,
42,568.4277369181315,6.297792075,3.2915077853943318E7,3.0578681566718906E7,3.085746076443075E7,3.0089301671663873E7,2.632183380819207E7,2.7559775548247278E7,3.1693045197085395E7,3.455264015936331E7,3.876923517374887E7,0,3.432398425707995E7,3.6270410958940335E7,3.1317414231712278E7,0,0,
43,355.1024360656738,1.31196365,4.6655134934910685E7,0,0,0,0,0,0,0,0,0,5.513184744394484E7,0,6.777992575547566E7,1.7514858769100867E7,0,
44,339.10752563476564,1.55914468,5.1242653631291635E7,0,0,0,0,0,0,0,3.6047151224759474E7,0,3.2671764673068114E7,0,5662889.407913632,1778474.3743856333,0,
45,331.19042587280273,4.383379625,2.6769470923621017E7,0,0,0,0,0,0,0,2.0879328604192045E8,0,0,0,4950864.463866841,1.2753120545322958E7,0,
46,339.10751953125,1.8918670599999998,1.6828446642832838E7,0,0,0,0,0,0,0,1.4016167012892686E7,0,1.1034764939003823E7,0,1017793.4306715041,6211670.276142941,0,
47,219.026551927839,0.3928024221428571,7.731539782645293E7,1.571890919496732E8,1.1981403888122523E8,6.60343664970196E7,1.2875367712400964E8,5.136156211850203E7,5.642688369160048E7,6.259838121434923E7,6.9664664528263E7,6.594354587144788E7,4.091063137220583E7,1.687062825551776E8,2.3461635953039408E7,2.6310915278162222E7,0,
48,207.06531372070313,1.60972934,1.6418243469365245E7,0,0,0,0,4709349.56785386,1.1221987804687608E7,0,1.5562589145578032E7,0,3.597628171101728E7,0,0,0,0,
49,177.05465212735263,2.426583463636364,3.0948763359286655E7,2568401.8776699216,6777072.976254193,7727892.319159279,0,1.4353375506806655E7,1.4830271511310559E7,4359294.369019871,0,1.687709355162087E7,3.2847599981696233E7,0,5695614.019965179,1.541751360654031E7,0,
50,329.10216267903644,3.8712253249999997,3.897429438339758E7,8.277114475898412E7,6.746268496207391E8,2.3113740523593348E7,2.590554768331583E8,5.151986316344164E8,3.618226374559995E7,1.4964861714629402E7,3.56047178559791E7,1.9441614433229032E8,1.3756952386977276E8,1.351545904266511E7,0,0,0,
51,301.216069539388,6.940965433333333,3.599146759201238E7,0,0,0,0,0,0,0,1.820705784196887E7,0,5.93484706933136E7,0,0,0,0,
52,429.37296513148715,7.69753402857143,3.1782379524801E7,1.1025272786194911E7,2.297610535750662E7,1.3363589111337751E7,2.2926276642221265E7,3.210225494517055E7,4.250281581890231E7,1.3311822310724288E7,5.115146621906643E7,3.2235735402506933E7,3.531996553781419E7,1.47086358926438E7,1.421608618324799E7,1.536426028083296E7,0,
53,455.352549961635,5.259746285714286,2.477860489583275E7,1539384.1000835595,0,0,0,1601009.9666276174,1.1971924508798208E7,0,2.4183649816507287E7,0,2.38011625051279E7,0,0,1.5548972473258328E7,0,
54,437.3415252685547,5.23707452,2.193572593573395E7,0,0,0,0,0,1.1226840411458056E7,0,3.912622785380655E7,0,2.023576811632385E7,0,0,3.860200399715295E7,0,
55,455.3519922892253,4.601793366666667,6.221352948709128E7,9180935.181485148,0,0,0,5225537.236346955,7001875.92412944,0,5.078157617073079E7,0,5.126792424191897E7,0,0,0,0,
56,392.09789784749347,1.5845976333333336,2.110824759445772E7,9420584.900739204,0,0,1.5151060859483188E7,0,0,0,1.613743788575836E7,0,2.089987808006119E7,0,0,1.6458371570326528E7,0,
57,125.98639590923602,0.33756744,5.535140021927305E7,1.0288869081968136E7,3.2858699027027603E7,6132016.424014556,3.2541429477442786E7,1.7678694106522508E7,2.2661934483829156E7,1.0895985619296074E7,3.7976823772450686E7,3.7509436965123005E7,9.801962568837532E7,0,7.196919165854824E7,2.7344909712200772E7,0,
58,175.14811270577567,2.1351559285714288,1.4625301472399302E7,0,1531532.6631755643,3741582.8990174886,1787144.2842009314,0,0,0,8402082.981662726,0,1.933128205090029E7,0,1.2390379093173997E7,0,0,
59,420.1291618347168,1.582395775,1.4351621548915781E7,0,0,0,1.6437483439013934E7,0,0,0,0,0,1.4443679809442634E7,0,0,1.5276136430492653E7,0,
60,207.13810221354166,1.6052450666666669,1.3396820491316434E7,0,0,0,0,0,0,0,2.439661039035004E7,0,1.6466468499320338E7,0,0,0,0,
61,406.2072262234158,1.562137611111111,1.3757417791974984E7,2.955998810107681E7,2.2564495155003853E7,1.1275982046948027E7,3.2791967379448995E7,0,0,0,3.74037895609762E7,0,2.918112987905701E7,0,3.118812436634289E7,2.9935827916487373E7,0,
62,148.06041826520647,0.43223870785714275,8.88586358050986E7,4.129785462652171E7,2.5352252850851435E7,9.845676880809788E7,3.420072138752289E7,5.530148620163363E7,2.8474490379346255E7,7.600505404196051E7,3.786641771055771E7,6.697181190610766E7,6.062776512699808E7,1.3484888862774494E8,6.5004159155576155E7,3.1498608345246922E7,0,
63,195.06527709960938,1.93013215,1.1582055779010726E7,0,0,0,0,0,0,0,8858624.588025704,6.165471532207895E7,6550352.435378257,0,0,0,0,
64,390.2632344563802,4.373624466666667,2.647100946378405E7,0,0,0,0,0,0,0,2.0544377718443997E7,0,3.850568589369401E7,0,0,0,0,
65,347.2206319173177,4.928667166666667,1.835757038897595E7,0,0,0,0,0,0,0,3.303341778278056E7,0,3.657710357330098E7,0,0,0,0,
66,449.1080017089844,2.024101,1.4054975801934984E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,137.0597686767578,1.2440827666666667,2.0831039769552924E7,0,0,0,0,0,0,0,1.6604762956143757E7,0,2.9476433198006444E7,0,0,0,0,
68,434.2023124694824,2.066458075,1.2722344398251206E7,0,0,0,0,0,0,0,0,0,9236171.769137237,0,1.7457856983534038E7,1.813734578838818E7,0,
69,219.1375217437744,4.927150725,1.6902931654112324E7,0,0,0,0,0,0,0,3.28855906890558E7,0,3.8158685108387575E7,0,1.1344342566857139E7,0,0,
70,570.21826171875,1.9237735,1.1497494976030663E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,245.1860809326172,1.6295114,1.4065205824821252E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,286.09217325846356,1.5335536333333335,1.2693591162618397E7,0,0,0,0,0,0,0,0,0,0,1.4298199884795688E7,0,8.657600049415867E7,0,
73,166.08633422851562,0.7479098138461538,6.329862110231512E7,3.9879798150664195E7,2.240534122457229E7,5.8479786770182274E7,4.6156147509182185E7,3066562.922469225,8766488.931034893,3.0515247682104196E7,1.3190371015876746E7,1.5239179246072553E7,1.8112310470079206E7,3.369333197628085E7,2.1413133413391814E7,0,0,
74,607.2918853759766,6.33692999,1.4325327980569307E7,1.4084556686410263E8,3.4931151809411176E7,1.0016133500877662E8,1.2511879538653873E8,0,1.5707078339968681E7,1.3303677200330343E7,0,1.4857755244755986E8,0,9.79375442001811E7,0,2.464373931072999E7,0,
75,457.36731338500977,5.4510667,2.1252590241290983E7,0,0,1.2536275783150855E7,8068436.140443651,0,1.9239344089354854E7,0,2.8489048958382506E7,0,2.896777876399452E7,6114204.470609319,0,2.1108338701518975E7,0,
76,130.0863094329834,0.4509038125,7.119636543730235E7,3895682.5410608435,0,9358261.072812561,0,0,0,0,8462575.017718697,0,1.4294857277358623E7,6352123.097962447,1.2972935252387267E7,1905654.3771534842,0,
77,364.24709065755206,4.928667166666667,1.5307896241801342E7,0,0,0,0,0,0,0,2.5715554623514164E7,0,2.8201287659466356E7,0,0,0,0,
78,130.0499768938337,0.4329901685714285,7.14570658555015E7,1.819446414132951E7,1.859247911076386E7,9.057775725398813E7,3.086255881982545E7,2.828952971805701E7,1.8758641886411753E7,5.762404749497417E7,1.42095780969606E7,5.2155185293422855E7,7.409849176602738E7,1.2896728763163641E8,8.991642708279121E7,2.8476126758982692E7,0,
79,477.10295486450195,2.1599687249999997,1.5982765622630224E7,7.842406154699118E7,1.2924983632197678E8,0,1.440178616620374E8,8.91896624936429E7,0,0,0,1.4693191753266854E7,8863929.162009377,0,0,1.8182113098458488E7,0,
80,221.19000549316405,4.807571319999999,1.4196957634746497E7,0,0,0,0,0,0,0,1.9420246829896484E7,0,4.287629106526085E7,0,8002351.709213227,6237469.37826207,0,
81,195.0652987162272,1.5332598,3.035911547129911E7,0,0,1.2320480094627926E7,0,0,0,1.1672042046195399E7,2.4726901092107117E7,1.781251444043233E7,1.940866036378343E7,0,0,0,0,
82,147.07641874040877,0.43429239428571426,6.616233183912426E7,7614088.345434432,1.5519660362265527E7,8.402739250920388E7,2.776105714221904E7,1.5912134611668222E7,1.4937200877317738E7,4.96617451550895E7,4066562.0899867318,4.190793987998041E7,7.645460234000702E7,1.2463643154996967E8,9.633676639716047E7,2.5124677560270056E7,0,
83,387.12872314453125,1.6589964,8474875.202387972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,203.1794834136963,4.371158375,1.8263085979928397E7,0,2038155.7617401315,9096036.284859236,0,4992114.797287863,0,0,0,0,1.3823418413160767E7,2955557.698643841,3536244.5160164586,4483500.917586761,0,
85,165.05466003417968,1.53463688,1.3580596251271892E7,0,0,0,0,0,0,0,1.1401937844317188E7,0,1.0324323642354595E7,9372394.703123586,0,5.8981706543103345E7,0,
86,367.18665568033856,4.745606899999999,1.612105686864591E7,0,0,0,0,0,0,0,6502391.16017965,0,2.0041148236080714E7,0,0,0,0,
87,792.5621970040457,6.969035185714285,1.9580667801515546E7,1.8512006588783182E7,1.7473177103301223E7,1.9781371269603748E7,1.7737111868293762E7,2.0330660057329632E7,1.9389704331916958E7,1.9059778179772053E7,1.8206231132628378E7,1.794483559425407E7,1.8978172155437425E7,1.835963005847965E7,1.8263367736789536E7,1.6726006651014661E7,0,
88,153.1274398803711,3.40715528,1.855864201357028E7,0,0,0,0,0,0,0,1.167636226007931E8,0,1.471597130551474E8,0,4.1513530066952065E7,4.90489467550023E7,0,
89,473.36232503255206,4.574611633333333,3.761689737858994E7,0,0,0,0,0,0,0,3.006762504742955E7,0,1.2991898309477737E7,0,0,0,0,
90,471.34699630737305,4.5396752,2.4232286805035364E7,0,0,0,0,0,0,0,2.288312967386239E7,0,2.0237905266046774E7,0,0,1.6526757703767547E7,0,
92,136.06182670593262,0.487569335,7.865688265239699E7,7381913.604357186,1.2961168682559505E7,2.939126423252679E7,0,0,1.7913674923338227E7,5459030.520959689,1.3767122338223694E7,0,4.554769622629804E7,0,0,0,0,
93,331.1902770996094,4.666519233333333,1.205527785897181E7,0,0,0,0,0,0,0,7.458198803215523E7,0,8.16725252114345E7,0,0,0,0,
94,193.04967498779297,1.3643441,1.2630827727314541E7,0,0,0,0,0,0,0,0,0,1.3663769778361082E7,0,0,0,0,
95,449.10812225341795,1.91575552,1.8882127952248164E7,7583535.411758913,2.5100764741694167E7,0,5.8659884326019086E7,1.2272373112691738E8,0,0,6.223526351067074E7,0,2.647891064905383E7,2.7956864969104577E7,2.2148220197538055E7,2.494422003596965E7,0,
96,502.26476135253904,2.31533738,2.2264603210365165E7,0,0,0,0,1.0782685167366277E7,0,0,1.9008450765910514E7,1.0022484730750546E7,2.780287376823793E7,0,0,0,0,
97,163.14805276053292,5.848673542857142,1.3527291399041636E7,2329314.4726417367,5448420.602958122,0,7379850.227507918,1.972535194469444E7,0,0,1.9745651066955227E7,0,1.0382565958530176E7,0,0,0,0,
98,462.23350016276044,2.0706700333333337,7844483.636237971,0,0,0,0,0,0,0,0,0,0,0,2.067745736858139E7,1.4432191808798943E7,0,
99,191.14309120178223,2.322041675,6883524.903443981,0,0,0,0,0,0,0,3452741.3854318513,8831135.90016746,1.166774290771669E7,0,0,0,0,
100,205.1221218109131,4.927150725,1.106194284104773E7,0,0,0,0,0,0,0,2.2341482522498693E7,0,2.6613705232125748E7,0,4.1299648147794954E7,0,0,
101,437.34147389729816,4.600648966666666,1.3370824440500826E7,4086737.4917537216,0,0,0,0,3441106.110973462,0,1.5791566511478532E7,0,1.6923959591482833E7,0,0,1.8624410274143614E7,0,
102,147.04407024383545,1.4160294375000002,3.177468181761549E7,0,0,3524484.52357538,0,0,2970623.169938244,4143823.137263812,2.426578136856823E7,0,3.0439814541084163E7,6048055.499628194,0,3987162.3160428856,0,
103,191.17932357788087,5.44887912,1.5709854263575435E7,3233698.8609650754,0,8187104.115716625,8052962.328554973,0,1.3533013536690166E7,0,1.837659109999283E7,0,1.8980277291582815E7,4287222.495853543,3120876.248084793,1.5515992765732316E7,0,
105,181.04954104953342,1.1992047666666668,3.5101405440107055E7,5050282.776854718,1.4178877930742037E7,1373902.8844938735,0,0,3.4316533700984046E7,1.3172007625824178E7,3.977648610582824E7,0,3.927723939399758E7,1.2347508567230424E7,0,0,0,
106,369.20250447591144,4.925201933333334,1.0314787552798828E7,0,0,0,0,0,0,0,1.905954447671223E7,0,2.1532508827312127E7,0,0,0,0,
107,209.15363464355468,1.79651238,8358365.058494994,0,1.258558650671021E7,0,0,1.838203242206432E7,0,0,4221762.590249234,0,1.0990108620787522E7,0,0,0,0,
108,409.3463821411133,4.577440224999999,1.8139965304148268E7,0,0,0,0,0,0,0,1.3952360603504583E7,0,1.4823426949625226E7,0,0,2.021612025739176E7,0,
109,378.11851755777997,2.1724705499999994,1.1199660099812828E7,1.069841205183865E7,0,9542459.101035437,8082502.629390371,5393528.518921565,2.4788540725971248E7,1.3687792216250792E7,1.2015390624394901E7,0,1.1010376586450972E7,1.9499372457909573E7,1.6610098122906355E7,6721432.5650643995,0,
110,203.17952728271484,4.5914574,1.2308436665797442E7,4921150.011574303,9312021.157092031,4619634.483951278,5143127.791730231,7050029.956977136,0,0,2.6179360193131447E7,0,3.184774673140608E7,1.16599629044055E7,5672216.979803671,1.1174810712215068E7,0,
111,954.6152474539621,6.681185092857143,1.3313347297121767E7,1.34326798114982E7,1.3734916319875723E7,1.5070230966193626E7,1.3195519312678924E7,1.1680196740444116E7,1.447605838070766E7,1.4438571298817456E7,1.407430441659674E7,1.3743467296931345E7,1.2375598632493889E7,1.5018547745635413E7,1.3139103667506129E7,1.2343631864391385E7,0,
112,183.0500591823033,0.3487454007142857,3.88651631530907E7,1.5107275925155504E7,1.9851709714470554E7,1.554779640780341E7,2.239307085307742E7,2.1084476156787187E7,2.4489568889133714E7,2.3308850952370647E7,3.1694070679890692E7,5.590173559733398E7,4.37719839076206E7,8786748.95350324,1.885400176573567E7,2.919789865953491E7,0,
113,600.4171574910482,5.523023433333333,1.6278306324150432E7,3.138288036217977E7,2.176305183949729E7,0,2.7350267806902945E7,2.706684941236488E7,2.145694003890778E7,0,1.484659542479477E7,3.1251135054966006E7,1.4416171792123633E7,2.7598106839936864E7,2.4989284653660428E7,1.418451359925762E7,0,
114,537.3030853271484,4.478342250000001,1.064664237078828E7,0,0,0,0,0,0,0,9832029.778645493,0,0,0,0,0,0,
115,333.20594278971356,4.666519233333333,8071810.040387156,0,0,0,0,0,0,0,7.244957567029278E7,0,7.193239550960712E7,0,0,0,0,
116,249.04613494873047,0.35212844833333334,2.7645111004358433E7,2.59796862701119E7,3.6118806352219135E7,6434155.439341819,1.5312434828054922E7,1.769299187959612E7,1.9375922002489574E7,9330949.137609374,1.0739293700071048E7,3.5800495634883545E7,2.4331746125843316E7,0,5065142.066696943,0,0,
117,317.21117782592773,3.3448954250000003,6953774.642464894,0,0,0,0,0,0,0,5206657.79778378,0,1.5748852696914056E7,0,3136524.165635975,0,0,
118,587.2101236979166,2.4379494333333334,8449462.731508777,0,0,0,0,0,0,0,8472008.543461332,0,9049904.298988486,0,0,0,0,
119,715.4154052734375,4.928667166666667,7881399.778759056,0,0,0,0,0,0,0,1.5428471228720762E7,0,1.6253374274064003E7,0,0,0,0,
120,149.13250579833985,5.814577760000001,9439714.77192525,0,1431965.1531138634,0,3065400.6826312225,2.1646778142047714E7,0,0,1940626.818556666,0,0,0,0,0,0,
121,265.0236628605769,0.36143756615384615,2.524154190855172E7,6437821.490705785,1.9811315586490456E7,1974029.421864618,1.6149927521313842E7,5187651.003199012,9570177.28515671,2168930.792093476,1.758832761958759E7,7125893.290823458,3.52557359111391E7,0,1.2581393639243288E7,3899072.0808569277,0,
122,369.11830139160156,1.5925321000000001,1.3856736316448614E7,0,0,0,0,0,0,0,0,0,1.360179181917718E7,0,0,0,0,
123,135.0441462198893,2.1550777,8931155.614116004,8207361.582070139,0,7985889.276496824,9469485.672022082,0,1.2692724041116096E7,7554472.279710217,8885392.102771798,0,9707284.029139455,0,8022364.063715607,0,0,
124,122.537079674857,0.35017705857142856,3.1280067889957245E7,2.032702450671272E7,3.11999530896557E7,9127892.3197518,1.6032070757743495E7,1.5384232033652121E7,1.8276813053561546E7,1.123813766330025E7,1.695352738271509E7,2.8879557775574703E7,2.6603118379049696E7,4208480.4676259365,6615139.259624326,3468446.485503574,0,
125,167.0703125,1.3832494333333332,1.3237113785040183E7,0,0,0,0,0,0,0,1.177354595658453E7,0,1.1892285640759133E7,0,0,0,0,
126,367.18731689453125,4.376723033333334,1.1826819347225148E7,0,0,0,0,0,0,0,1.0987441035107994E7,0,1.777955162827027E7,0,0,0,0,
